#At time: 0.000000e+00, nsteps= 0


0.000000e+00, 0.000000e+00
3.125000e-02, 0.000000e+00
9.375000e-02, 0.000000e+00
1.562500e-01, 0.000000e+00
2.187500e-01, 0.000000e+00
2.812500e-01, 0.000000e+00
3.437500e-01, 0.000000e+00
4.062500e-01, 0.000000e+00
4.687500e-01, 0.000000e+00
5.312500e-01, 0.000000e+00
5.937500e-01, 0.000000e+00
6.562500e-01, 0.000000e+00
7.187500e-01, 0.000000e+00
7.812500e-01, 0.000000e+00
8.437500e-01, 0.000000e+00
9.062500e-01, 0.000000e+00
9.687500e-01, 0.000000e+00
1.031250e+00, 5.000000e+00
1.093750e+00, 5.000000e+00
1.156250e+00, 5.000000e+00
1.218750e+00, 5.000000e+00
1.281250e+00, 5.000000e+00
1.343750e+00, 5.000000e+00
1.406250e+00, 5.000000e+00
1.468750e+00, 5.000000e+00
1.531250e+00, 5.000000e+00
1.593750e+00, 5.000000e+00
1.656250e+00, 5.000000e+00
1.718750e+00, 5.000000e+00
1.781250e+00, 5.000000e+00
1.843750e+00, 5.000000e+00
1.906250e+00, 5.000000e+00
1.968750e+00, 5.000000e+00
2.031250e+00, 0.000000e+00
2.093750e+00, 0.000000e+00
2.156250e+00, 0.000000e+00
2.218750e+00, 0.000000e+00
2.281250e+00, 0.000000e+00
2.343750e+00, 0.000000e+00
2.406250e+00, 0.000000e+00
2.468750e+00, 0.000000e+00
2.531250e+00, 0.000000e+00
2.593750e+00, 0.000000e+00
2.656250e+00, 0.000000e+00
2.718750e+00, 0.000000e+00
2.781250e+00, 0.000000e+00
2.843750e+00, 0.000000e+00
2.906250e+00, 0.000000e+00
2.968750e+00, 0.000000e+00
3.031250e+00, 0.000000e+00
3.093750e+00, 0.000000e+00
3.156250e+00, 0.000000e+00
3.218750e+00, 0.000000e+00
3.281250e+00, 0.000000e+00
3.343750e+00, 0.000000e+00
3.406250e+00, 0.000000e+00
3.468750e+00, 0.000000e+00
3.531250e+00, 0.000000e+00
3.593750e+00, 0.000000e+00
3.656250e+00, 0.000000e+00
3.718750e+00, 0.000000e+00
3.781250e+00, 0.000000e+00
3.843750e+00, 0.000000e+00
3.906250e+00, 0.000000e+00
3.968750e+00, 0.000000e+00
4.000000e+00, 0.000000e+00


#At time: 2.010938e+00, nsteps= 104


0.000000e+00, 5.598661e-01
3.125000e-02, 5.692596e-01
9.375000e-02, 5.840366e-01
1.562500e-01, 6.215659e-01
2.187500e-01, 6.653561e-01
2.812500e-01, 7.389885e-01
3.437500e-01, 8.100815e-01
4.062500e-01, 9.167589e-01
4.687500e-01, 1.012050e+00
5.312500e-01, 1.146766e+00
5.937500e-01, 1.261501e+00
6.562500e-01, 1.417034e+00
7.187500e-01, 1.544669e+00
7.812500e-01, 1.711552e+00
8.437500e-01, 1.843854e+00
9.062500e-01, 2.010714e+00
9.687500e-01, 2.138200e+00
1.031250e+00, 2.292533e+00
1.093750e+00, 2.405240e+00
1.156250e+00, 2.534566e+00
1.218750e+00, 2.623070e+00
1.281250e+00, 2.716307e+00
1.343750e+00, 2.772830e+00
1.406250e+00, 2.821650e+00
1.468750e+00, 2.841053e+00
1.531250e+00, 2.840970e+00
1.593750e+00, 2.821432e+00
1.656250e+00, 2.772392e+00
1.718750e+00, 2.715649e+00
1.781250e+00, 2.622013e+00
1.843750e+00, 2.533086e+00
1.906250e+00, 2.402981e+00
1.968750e+00, 2.289449e+00
2.031250e+00, 2.133625e+00
2.093750e+00, 2.004583e+00
2.156250e+00, 1.834975e+00
2.218750e+00, 1.699854e+00
2.281250e+00, 1.528109e+00
2.343750e+00, 1.395575e+00
2.406250e+00, 1.231792e+00
2.468750e+00, 1.108888e+00
2.531250e+00, 9.607400e-01
2.593750e+00, 8.523867e-01
2.656250e+00, 7.247201e-01
2.718750e+00, 6.335855e-01
2.781250e+00, 5.284772e-01
2.843750e+00, 4.551824e-01
2.906250e+00, 3.723552e-01
2.968750e+00, 3.159068e-01
3.031250e+00, 2.533606e-01
3.093750e+00, 2.116910e-01
3.156250e+00, 1.663982e-01
3.218750e+00, 1.369004e-01
3.281250e+00, 1.054393e-01
3.343750e+00, 8.541514e-02
3.406250e+00, 6.446220e-02
3.468750e+00, 5.144128e-02
3.531250e+00, 3.809230e-02
3.593750e+00, 3.001742e-02
3.656250e+00, 2.195132e-02
3.718750e+00, 1.725284e-02
3.781250e+00, 1.277679e-02
3.843750e+00, 1.037372e-02
3.906250e+00, 8.399758e-03
3.968750e+00, 7.666691e-03
4.000000e+00, 7.666691e-03


#At time: 4.002539e+00, nsteps= 207


0.000000e+00, 1.190517e+00
3.125000e-02, 1.194459e+00
9.375000e-02, 1.202594e+00
1.562500e-01, 1.218261e+00
2.187500e-01, 1.242127e+00
2.812500e-01, 1.272419e+00
3.437500e-01, 1.310426e+00
4.062500e-01, 1.353322e+00
4.687500e-01, 1.402929e+00
5.312500e-01, 1.455551e+00
5.937500e-01, 1.513417e+00
6.562500e-01, 1.572209e+00
7.187500e-01, 1.634404e+00
7.812500e-01, 1.695352e+00
8.437500e-01, 1.757607e+00
9.062500e-01, 1.816502e+00
9.687500e-01, 1.874487e+00
1.031250e+00, 1.927199e+00
1.093750e+00, 1.976809e+00
1.156250e+00, 2.019566e+00
1.218750e+00, 2.057199e+00
1.281250e+00, 2.086835e+00
1.343750e+00, 2.109629e+00
1.406250e+00, 2.123798e+00
1.468750e+00, 2.129817e+00
1.531250e+00, 2.127134e+00
1.593750e+00, 2.115479e+00
1.656250e+00, 2.095591e+00
1.718750e+00, 2.066430e+00
1.781250e+00, 2.030002e+00
1.843750e+00, 1.984510e+00
1.906250e+00, 1.933129e+00
1.968750e+00, 1.873358e+00
2.031250e+00, 1.809373e+00
2.093750e+00, 1.738051e+00
2.156250e+00, 1.664358e+00
2.218750e+00, 1.584655e+00
2.281250e+00, 1.504453e+00
2.343750e+00, 1.419727e+00
2.406250e+00, 1.336275e+00
2.468750e+00, 1.249825e+00
2.531250e+00, 1.166220e+00
2.593750e+00, 1.081077e+00
2.656250e+00, 1.000069e+00
2.718750e+00, 9.188321e-01
2.781250e+00, 8.426908e-01
2.843750e+00, 7.674235e-01
2.906250e+00, 6.978715e-01
2.968750e+00, 6.300580e-01
3.031250e+00, 5.682559e-01
3.093750e+00, 5.088170e-01
3.156250e+00, 4.554033e-01
3.218750e+00, 4.047582e-01
3.281250e+00, 3.599289e-01
3.343750e+00, 3.180932e-01
3.406250e+00, 2.817080e-01
3.468750e+00, 2.484115e-01
3.531250e+00, 2.201129e-01
3.593750e+00, 1.949236e-01
3.656250e+00, 1.742561e-01
3.718750e+00, 1.566982e-01
3.781250e+00, 1.432160e-01
3.843750e+00, 1.328712e-01
3.906250e+00, 1.262252e-01
3.968750e+00, 1.228102e-01
4.000000e+00, 1.228102e-01


