#At time: 0.000000e+00, nsteps= 0


0.000000e+00, 0.000000e+00
3.125000e-02, 0.000000e+00
9.375000e-02, 0.000000e+00
1.562500e-01, 0.000000e+00
2.187500e-01, 0.000000e+00
2.812500e-01, 0.000000e+00
3.437500e-01, 0.000000e+00
4.062500e-01, 0.000000e+00
4.687500e-01, 0.000000e+00
5.312500e-01, 0.000000e+00
5.937500e-01, 0.000000e+00
6.562500e-01, 0.000000e+00
7.187500e-01, 0.000000e+00
7.812500e-01, 0.000000e+00
8.437500e-01, 0.000000e+00
9.062500e-01, 0.000000e+00
9.687500e-01, 0.000000e+00
1.031250e+00, 5.000000e+00
1.093750e+00, 5.000000e+00
1.156250e+00, 5.000000e+00
1.218750e+00, 5.000000e+00
1.281250e+00, 5.000000e+00
1.343750e+00, 5.000000e+00
1.406250e+00, 5.000000e+00
1.468750e+00, 5.000000e+00
1.531250e+00, 5.000000e+00
1.593750e+00, 5.000000e+00
1.656250e+00, 5.000000e+00
1.718750e+00, 5.000000e+00
1.781250e+00, 5.000000e+00
1.843750e+00, 5.000000e+00
1.906250e+00, 5.000000e+00
1.968750e+00, 5.000000e+00
2.031250e+00, 0.000000e+00
2.093750e+00, 0.000000e+00
2.156250e+00, 0.000000e+00
2.218750e+00, 0.000000e+00
2.281250e+00, 0.000000e+00
2.343750e+00, 0.000000e+00
2.406250e+00, 0.000000e+00
2.468750e+00, 0.000000e+00
2.531250e+00, 0.000000e+00
2.593750e+00, 0.000000e+00
2.656250e+00, 0.000000e+00
2.718750e+00, 0.000000e+00
2.781250e+00, 0.000000e+00
2.843750e+00, 0.000000e+00
2.906250e+00, 0.000000e+00
2.968750e+00, 0.000000e+00
3.031250e+00, 0.000000e+00
3.093750e+00, 0.000000e+00
3.156250e+00, 0.000000e+00
3.218750e+00, 0.000000e+00
3.281250e+00, 0.000000e+00
3.343750e+00, 0.000000e+00
3.406250e+00, 0.000000e+00
3.468750e+00, 0.000000e+00
3.531250e+00, 0.000000e+00
3.593750e+00, 0.000000e+00
3.656250e+00, 0.000000e+00
3.718750e+00, 0.000000e+00
3.781250e+00, 0.000000e+00
3.843750e+00, 0.000000e+00
3.906250e+00, 0.000000e+00
3.968750e+00, 0.000000e+00
4.000000e+00, 0.000000e+00


#At time: 2.011719e+00, nsteps= 103


0.000000e+00, 5.648929e-01
3.125000e-02, 5.648929e-01
9.375000e-02, 5.985167e-01
1.562500e-01, 5.985167e-01
2.187500e-01, 6.981466e-01
2.812500e-01, 6.981466e-01
3.437500e-01, 8.598611e-01
4.062500e-01, 8.598611e-01
4.687500e-01, 1.076558e+00
5.312500e-01, 1.076558e+00
5.937500e-01, 1.337388e+00
6.562500e-01, 1.337388e+00
7.187500e-01, 1.627444e+00
7.812500e-01, 1.627444e+00
8.437500e-01, 1.928009e+00
9.062500e-01, 1.928009e+00
9.687500e-01, 2.217550e+00
1.031250e+00, 2.217550e+00
1.093750e+00, 2.473463e+00
1.156250e+00, 2.473463e+00
1.218750e+00, 2.674382e+00
1.281250e+00, 2.674382e+00
1.343750e+00, 2.802683e+00
1.406250e+00, 2.802683e+00
1.468750e+00, 2.846720e+00
1.531250e+00, 2.846720e+00
1.593750e+00, 2.802368e+00
1.656250e+00, 2.802368e+00
1.718750e+00, 2.673557e+00
1.781250e+00, 2.673557e+00
1.843750e+00, 2.471655e+00
1.906250e+00, 2.471655e+00
1.968750e+00, 2.213833e+00
2.031250e+00, 2.213833e+00
2.093750e+00, 1.920698e+00
2.156250e+00, 1.920698e+00
2.218750e+00, 1.613631e+00
2.281250e+00, 1.613631e+00
2.343750e+00, 1.312297e+00
2.406250e+00, 1.312297e+00
2.468750e+00, 1.032700e+00
2.531250e+00, 1.032700e+00
2.593750e+00, 7.860388e-01
2.656250e+00, 7.860388e-01
2.718750e+00, 5.784154e-01
2.781250e+00, 5.784154e-01
2.843750e+00, 4.112891e-01
2.906250e+00, 4.112891e-01
2.968750e+00, 2.824500e-01
3.031250e+00, 2.824500e-01
3.093750e+00, 1.872389e-01
3.156250e+00, 1.872389e-01
3.218750e+00, 1.197584e-01
3.281250e+00, 1.197584e-01
3.343750e+00, 7.389038e-02
3.406250e+00, 7.389038e-02
3.468750e+00, 4.402261e-02
3.531250e+00, 4.402261e-02
3.593750e+00, 2.547335e-02
3.656250e+00, 2.547335e-02
3.718750e+00, 1.466508e-02
3.781250e+00, 1.466508e-02
3.843750e+00, 9.130607e-03
3.906250e+00, 9.130607e-03
3.968750e+00, 7.441127e-03
4.000000e+00, 7.441127e-03


#At time: 4.003906e+00, nsteps= 205


0.000000e+00, 1.192793e+00
3.125000e-02, 1.192793e+00
9.375000e-02, 1.208818e+00
1.562500e-01, 1.208818e+00
2.187500e-01, 1.255826e+00
2.812500e-01, 1.255826e+00
3.437500e-01, 1.330688e+00
4.062500e-01, 1.330688e+00
4.687500e-01, 1.428396e+00
5.312500e-01, 1.428396e+00
5.937500e-01, 1.542371e+00
6.562500e-01, 1.542371e+00
7.187500e-01, 1.664873e+00
7.812500e-01, 1.664873e+00
8.437500e-01, 1.787493e+00
9.062500e-01, 1.787493e+00
9.687500e-01, 1.901702e+00
1.031250e+00, 1.901702e+00
1.093750e+00, 1.999415e+00
1.156250e+00, 1.999415e+00
1.218750e+00, 2.073537e+00
1.281250e+00, 2.073537e+00
1.343750e+00, 2.118432e+00
1.406250e+00, 2.118432e+00
1.468750e+00, 2.130287e+00
1.531250e+00, 2.130287e+00
1.593750e+00, 2.107331e+00
1.656250e+00, 2.107331e+00
1.718750e+00, 2.049892e+00
1.781250e+00, 2.049892e+00
1.843750e+00, 1.960288e+00
1.906250e+00, 1.960288e+00
1.968750e+00, 1.842556e+00
2.031250e+00, 1.842556e+00
2.093750e+00, 1.702072e+00
2.156250e+00, 1.702072e+00
2.218750e+00, 1.545078e+00
2.281250e+00, 1.545078e+00
2.343750e+00, 1.378187e+00
2.406250e+00, 1.378187e+00
2.468750e+00, 1.207898e+00
2.531250e+00, 1.207898e+00
2.593750e+00, 1.040180e+00
2.656250e+00, 1.040180e+00
2.718750e+00, 8.801551e-01
2.781250e+00, 8.801551e-01
2.843750e+00, 7.318863e-01
2.906250e+00, 7.318863e-01
2.968750e+00, 5.982985e-01
3.031250e+00, 5.982985e-01
3.093750e+00, 4.812055e-01
3.156250e+00, 4.812055e-01
3.218750e+00, 3.814343e-01
3.281250e+00, 3.814343e-01
3.343750e+00, 2.990164e-01
3.406250e+00, 2.990164e-01
3.468750e+00, 2.334199e-01
3.531250e+00, 2.334199e-01
3.593750e+00, 1.837946e-01
3.656250e+00, 1.837946e-01
3.718750e+00, 1.492034e-01
3.781250e+00, 1.492034e-01
3.843750e+00, 1.288227e-01
3.906250e+00, 1.288227e-01
3.968750e+00, 1.220948e-01
4.000000e+00, 1.220948e-01


