Pe               V       Nsts   nu           nSupSteps  nsteps    ERRmax   Speedup
1               0.010000   50   1.000000e-04   18    900    2549758.642635      0.00 
1               0.010000   50   1.000000e-03   42    2100    200951.315766      0.00 
1               0.010000   50   1.000000e-02   132    6600    139.661132      0.00 
1               0.010000   50   1.000000e-01   417    20850    0.002844      1.58 

10              0.100000   1   0               34049    34049    0.024362      0.00 
10              0.100000   1   1.000000e-06   34049    34049    0.024350      1.00 
10              0.100000   1   1.000000e-05   34049    34049    0.024291      1.00 
10              0.100000   1   1.000000e-04   34052    34052    0.024262      1.00 
10              0.100000   1   1.000000e-03   34083    34083    0.024262      1.00 
10              0.100000   1   1.000000e-02   34389    34389    0.024270      0.99 
10              0.100000   1   1.000000e-01   37453    37453    0.024344      0.91 
10              0.100000   5   0              1362    6810    1809270237.041767      0.00 
10              0.100000   5   1.000000e-06   1362    6810    1690487271.119030      0.00 
10              0.100000   5   1.000000e-05   1363    6815    933333811.743419      0.00 
10              0.100000   5   1.000000e-04   1367    6835    2235486.158546      0.00 
10              0.100000   5   1.000000e-03   1407    7035    0.010801      4.84 
10              0.100000   5   1.000000e-02   1785    8925    0.014784      3.82 
10              0.100000   5   1.000000e-01   4320    21600    0.022713      1.58 
10              0.100000   10   0              341    3410    2306137049.001695      0.00 
10              0.100000   10   1.000000e-06   341    3410    2166525741.316066      0.00 
10              0.100000   10   1.000000e-05   341    3410    1233234575.354817      0.00 
10              0.100000   10   1.000000e-04   345    3450    4799245.475790      0.00 
10              0.100000   10   1.000000e-03   385    3850    0.032122      0.00 
10              0.100000   10   1.000000e-02   707    7070    0.006904      4.82 
10              0.100000   10   1.000000e-01   2154    21540    0.022672      1.58 
10              0.100000   20   0              86    1720    1552193639.474360      0.00 
10              0.100000   20   1.000000e-06   86    1720    1455870713.597892      0.00 
10              0.100000   20   1.000000e-05   86    1720    818845463.748398      0.00 
10              0.100000   20   1.000000e-04   90    1800    5598053.554449      0.00 
10              0.100000   20   1.000000e-03   127    2540    0.140702      0.00 
10              0.100000   20   1.000000e-02   341    6820    0.005259      4.99 
10              0.100000   20   1.000000e-01   1077    21540    0.022671      1.58 
10              0.100000   50   0              14    700    2110951976052535.500000      0.00 
10              0.100000   50   1.000000e-06   14    700    1195530052840938.500000      0.00 
10              0.100000   50   1.000000e-05   15    750    2725724765229460.000000      0.00 
10              0.100000   50   1.000000e-04   18    900    66540992081230.906250      0.00 
10              0.100000   50   1.000000e-03   44    2200    326044.286573      0.00 
10              0.100000   50   1.000000e-02   137    6850    207.883416      0.00 
10              0.100000   50   1.000000e-01   431    21550    0.022667      1.58 

100             1.000000   1   0              45568    45568    0.155378      0.00 
100             1.000000   1   1.000000e-06   45569    45569    0.155377      1.00 
100             1.000000   1   1.000000e-05   45569    45569    0.155365      1.00 
100             1.000000   1   1.000000e-04   45573    45573    0.155364      1.00 
100             1.000000   1   1.000000e-03   45614    45614    0.155410      0.00 
100             1.000000   1   1.000000e-02   46024    46024    0.155862      0.00 
100             1.000000   1   1.000000e-01   50125    50125    0.159953      0.00 
100             1.000000   5   0              1823    9115    Inf      0.00 
100             1.000000   5   1.000000e-06   1823    9115    Inf      0.00 
100             1.000000   5   1.000000e-05   1824    9120    Inf      0.00 
100             1.000000   5   1.000000e-04   1829    9145    Inf      0.00 
100             1.000000   5   1.000000e-03   1883    9415    Inf      0.00 
100             1.000000   5   1.000000e-02   2389    11945    Inf      0.00 
